FEATURE_1	FEATURE_2	FEATURE_3	FEATURE_4	FEATURE_5	AD_ID	CONTROL	RESPONSE	TIME
1	1	3	1	4	1	0	0	Day 1, 13:00
2	1	1	3	3	3	1	0	Day 1, 4:00
2	2	1	3	5	3	1	0	Day 1, 7:00
2	2	3	1	2	1	1	0	Day 1, 7:00
2	2	4	3	3	2	0	0	Day 1, 7:00
1	1	1	1	4	1	1	0	Day 1, 7:00
2	1	2	2	2	3	0	0	Day 1, 4:00
2	2	2	1	5	1	0	1	Day 1, 7:00
3	1	2	2	3	3	0	0	Day 1, 5:00
4	1	3	1	3	1	0	0	Day 1, 8:00
2	1	2	2	1	2	1	0	Day 1, 8:00
2	1	2	2	4	3	1	0	Day 1, 8:00
2	2	2	2	5	1	0	0	Day 1, 8:00
1	1	2	2	1	3	0	0	Day 1, 7:00
3	1	2	2	5	3	0	0	Day 1, 8:00
2	1	2	2	5	2	0	0	Day 1, 8:00
2	1	4	1	5	2	1	0	Day 1, 7:00
2	2	2	1	4	1	0	0	Day 1, 8:00
2	2	2	2	5	3	0	0	Day 1, 8:00
3	1	2	2	2	1	1	0	Day 1, 8:00
3	1	2	2	5	2	0	0	Day 1, 9:00
2	2	1	1	3	1	0	0	Day 1, 8:00
3	1	3	1	3	2	1	0	Day 1, 6:00
2	2	3	1	1	2	0	0	Day 1, 8:00
2	1	2	1	4	2	1	1	Day 1, 8:00
2	1	3	1	2	1	0	0	Day 1, 20:00
1	2	4	1	3	1	0	0	Day 1, 8:00
5	1	3	1	1	1	0	0	Day 1, 7:00
3	1	3	1	3	1	0	0	Day 1, 8:00
2	1	3	1	2	1	0	0	Day 1, 8:00
2	2	1	3	2	3	0	0	Day 1, 8:00
3	1	2	2	1	3	0	0	Day 1, 8:00
3	1	2	2	1	2	0	0	Day 1, 8:00
2	1	2	2	3	1	1	0	Day 1, 7:00
2	2	3	1	5	1	1	0	Day 1, 9:00
3	1	2	2	2	3	0	0	Day 1, 9:00
5	1	2	2	2	1	0	0	Day 1, 9:00
2	2	4	1	1	1	0	0	Day 1, 8:00
3	2	1	1	2	1	0	0	Day 1, 9:00
3	2	2	2	4	1	1	0	Day 1, 9:00
2	2	2	1	3	1	0	0	Day 1, 6:00
2	1	2	2	1	3	0	0	Day 1, 8:00
2	1	3	1	5	1	0	0	Day 1, 9:00
2	1	3	1	5	1	1	0	Day 1, 9:00
3	2	3	1	1	2	0	0	Day 1, 8:00
2	1	2	2	3	3	1	0	Day 1, 8:00
3	1	2	2	5	2	0	0	Day 1, 9:00
2	1	1	1	2	3	0	0	Day 1, 6:00
3	1	3	3	2	1	0	1	Day 1, 9:00
2	1	2	2	2	2	1	0	Day 1, 8:00
3	1	2	2	2	2	0	0	Day 1, 9:00
2	1	3	1	2	2	0	0	Day 1, 9:00
2	2	3	1	5	1	0	0	Day 1, 9:00
3	1	3	1	1	1	0	0	Day 1, 8:00
3	1	1	3	5	1	0	0	Day 1, 6:00
3	1	3	1	2	3	1	0	Day 1, 9:00
2	1	2	2	1	3	0	0	Day 1, 9:00
3	1	2	2	3	3	1	0	Day 1, 9:00
3	1	3	1	5	2	0	0	Day 1, 8:00
1	1	2	2	2	3	0	0	Day 1, 9:00
2	1	1	3	3	2	0	0	Day 1, 6:00
3	1	2	2	3	3	1	0	Day 1, 9:00
3	1	2	2	4	3	0	0	Day 1, 9:00
3	1	2	2	1	3	0	0	Day 1, 8:00
2	2	4	1	2	1	0	0	Day 1, 9:00
3	1	3	1	4	1	0	0	Day 1, 9:00
3	1	4	1	5	1	0	0	Day 1, 9:00
2	1	3	1	5	1	0	0	Day 1, 9:00
1	2	2	2	5	1	0	0	Day 1, 9:00
2	1	2	2	3	1	0	0	Day 1, 8:00
1	1	3	1	1	1	0	0	Day 1, 6:00
5	1	4	1	2	2	0	0	Day 1, 8:00
2	1	3	1	2	2	0	0	Day 1, 9:00
2	1	3	1	1	2	0	0	Day 1, 9:00
2	1	4	1	5	2	0	0	Day 1, 9:00
3	2	3	1	5	2	0	0	Day 1, 9:00
3	1	3	1	5	1	0	0	Day 1, 10:00
1	1	3	1	5	1	0	0	Day 1, 9:00
5	1	2	1	4	2	0	1	Day 1, 10:00
3	1	3	1	2	1	0	0	Day 1, 10:00
3	2	2	1	1	1	0	0	Day 1, 10:00
3	1	2	2	5	3	0	0	Day 1, 8:00
2	1	2	2	4	1	1	0	Day 1, 10:00
2	1	2	2	4	1	1	0	Day 1, 10:00
1	2	2	1	4	2	0	0	Day 1, 10:00
2	1	4	1	2	1	0	0	Day 1, 10:00
1	1	2	2	2	2	0	0	Day 1, 10:00
3	1	1	1	2	2	0	0	Day 1, 9:00
2	1	2	2	5	1	0	0	Day 1, 9:00
4	1	1	1	4	1	0	0	Day 1, 9:00
3	1	3	1	1	1	0	0	Day 1, 10:00
3	1	1	3	4	3	0	0	Day 1, 7:00
2	1	3	1	1	1	1	0	Day 1, 9:00
1	1	2	2	3	1	0	0	Day 1, 10:00
1	2	1	2	5	1	0	0	Day 1, 10:00
1	1	3	1	2	1	0	0	Day 1, 9:00
2	2	2	2	5	1	0	0	Day 1, 10:00
2	1	3	1	5	1	0	0	Day 1, 17:00
2	1	3	1	4	2	0	0	Day 1, 10:00
2	1	3	1	5	3	0	0	Day 1, 8:00
2	1	2	1	1	1	0	0	Day 1, 10:00
3	1	3	1	1	2	0	0	Day 1, 10:00
1	2	3	1	1	1	0	0	Day 1, 9:00
2	2	1	4	4	3	0	0	Day 1, 10:00
2	1	2	2	3	3	0	0	Day 1, 15:00
3	1	2	1	5	1	0	0	Day 1, 7:00
2	3	3	1	5	2	1	0	Day 1, 9:00
2	2	4	1	2	3	0	0	Day 1, 10:00
1	1	2	2	3	1	0	0	Day 1, 10:00
2	1	1	3	2	3	0	0	Day 1, 10:00
2	1	2	1	4	1	0	0	Day 1, 10:00
2	2	4	3	2	3	1	0	Day 1, 9:00
2	1	3	1	1	1	0	0	Day 1, 11:00
5	1	3	1	4	1	0	0	Day 1, 11:00
2	1	3	1	5	2	0	0	Day 1, 11:00
1	1	1	1	4	1	0	1	Day 1, 11:00
2	1	1	3	4	3	0	1	Day 1, 11:00
1	2	1	2	1	1	0	1	Day 1, 10:00
1	1	1	5	3	2	0	0	Day 1, 8:00
1	2	3	1	2	3	0	0	Day 1, 10:00
3	1	3	1	2	3	1	0	Day 1, 11:00
1	1	2	2	2	3	0	0	Day 1, 11:00
2	1	3	1	5	1	0	0	Day 1, 10:00
4	2	2	1	4	2	0	0	Day 1, 11:00
2	1	2	2	1	2	1	0	Day 1, 11:00
2	1	3	1	3	1	1	0	Day 1, 10:00
2	1	3	1	3	2	0	0	Day 1, 11:00
2	2	1	1	1	1	0	0	Day 1, 11:00
2	1	2	2	1	3	0	0	Day 1, 8:00
3	1	4	4	5	2	0	0	Day 1, 10:00
3	2	2	2	3	2	0	0	Day 1, 11:00
1	2	1	2	3	1	1	0	Day 1, 11:00
3	1	1	1	1	1	0	0	Day 1, 11:00
2	3	2	1	4	1	0	0	Day 1, 9:00
1	2	2	3	3	1	0	0	Day 1, 11:00
3	1	2	2	1	1	0	0	Day 1, 10:00
2	1	2	2	3	1	0	0	Day 1, 23:00
2	1	2	2	1	3	0	0	Day 1, 11:00
2	2	3	1	5	1	0	0	Day 1, 10:00
1	2	2	2	5	2	0	0	Day 1, 8:00
2	1	2	2	3	1	1	0	Day 1, 8:00
2	1	2	2	2	1	1	0	Day 1, 11:00
1	1	4	1	3	2	1	0	Day 1, 8:00
2	1	2	2	1	1	1	0	Day 1, 11:00
2	1	3	1	3	2	0	0	Day 1, 10:00
2	2	3	1	4	2	0	0	Day 1, 8:00
3	1	2	1	5	1	0	0	Day 1, 11:00
2	1	3	1	5	2	0	0	Day 1, 11:00
2	2	3	1	1	1	0	0	Day 1, 16:00
2	1	3	1	3	1	0	0	Day 1, 10:00
1	1	2	1	5	1	0	0	Day 1, 8:00
2	1	2	2	1	2	0	0	Day 1, 10:00
2	1	3	1	5	2	0	0	Day 1, 17:00
1	1	3	1	3	2	0	0	Day 1, 12:00
2	1	3	2	5	1	0	0	Day 1, 9:00
2	2	3	1	2	1	0	0	Day 1, 11:00
2	1	2	2	1	3	0	0	Day 1, 11:00
2	1	3	1	3	2	0	0	Day 1, 11:00
5	2	2	2	5	1	0	0	Day 1, 12:00
2	1	4	1	1	3	1	0	Day 1, 9:00
3	1	3	1	4	1	0	0	Day 1, 12:00
3	1	1	1	2	2	1	1	Day 1, 11:00
2	2	3	1	5	2	0	0	Day 1, 12:00
3	1	2	2	4	1	0	0	Day 1, 12:00
5	1	3	1	2	1	0	0	Day 1, 12:00
2	1	2	2	2	3	1	0	Day 1, 12:00
2	1	2	2	3	3	0	0	Day 1, 11:00
2	1	4	2	2	1	0	0	Day 1, 12:00
3	2	2	2	1	2	0	0	Day 1, 12:00
2	1	3	1	1	1	0	0	Day 1, 9:00
1	1	3	1	2	1	0	0	Day 1, 12:00
1	1	3	4	3	2	0	0	Day 1, 12:00
2	1	3	1	2	1	1	0	Day 1, 12:00
1	1	1	1	2	1	1	1	Day 1, 9:00
2	2	2	2	5	1	1	0	Day 1, 9:00
2	1	1	2	2	1	0	0	Day 1, 12:00
5	1	2	2	4	1	0	0	Day 1, 12:00
1	1	4	1	1	2	0	0	Day 1, 12:00
2	2	2	2	4	2	0	0	Day 1, 9:00
2	1	3	1	3	1	1	0	Day 1, 11:00
2	1	2	2	2	1	0	0	Day 1, 9:00
2	1	2	2	3	2	1	0	Day 1, 12:00
3	1	2	2	1	3	0	0	Day 1, 12:00
1	2	2	1	3	1	0	1	Day 1, 9:00
2	2	1	1	1	1	0	1	Day 1, 12:00
3	1	2	2	5	3	0	0	Day 1, 12:00
1	1	3	1	1	1	0	0	Day 1, 12:00
2	1	1	1	1	1	0	0	Day 1, 10:00
3	1	3	1	1	1	0	0	Day 1, 9:00
1	1	2	2	1	3	0	0	Day 1, 11:00
2	2	2	2	5	3	1	0	Day 1, 12:00
1	1	2	2	3	1	1	0	Day 1, 11:00
1	1	2	1	2	1	1	0	Day 1, 11:00
2	1	2	2	4	3	0	0	Day 1, 12:00
2	1	2	2	3	1	1	0	Day 1, 12:00
1	1	3	1	5	1	0	0	Day 1, 12:00
1	1	1	3	4	3	0	0	Day 1, 9:00
3	1	2	2	4	3	0	0	Day 1, 12:00
1	1	2	1	4	1	0	0	Day 1, 9:00
2	2	1	1	5	2	1	1	Day 1, 9:00
4	1	2	2	5	1	0	0	Day 1, 12:00
1	1	3	1	1	1	0	0	Day 1, 12:00
2	1	2	2	4	3	0	0	Day 1, 9:00
2	1	3	1	1	1	0	0	Day 1, 11:00
2	1	3	1	3	1	0	0	Day 1, 11:00
3	2	3	1	2	2	0	0	Day 1, 12:00
2	1	3	1	2	1	0	0	Day 1, 11:00
5	1	2	2	2	2	0	0	Day 1, 12:00
3	1	3	1	2	1	0	0	Day 1, 10:00
1	1	2	2	5	3	0	0	Day 1, 11:00
2	2	2	1	2	1	0	0	Day 1, 11:00
1	1	1	2	3	1	1	1	Day 1, 12:00
2	2	4	1	5	1	0	0	Day 1, 12:00
3	1	2	2	2	1	0	0	Day 1, 11:00
5	2	2	2	4	2	1	0	Day 1, 12:00
5	1	3	1	4	2	1	0	Day 1, 10:00
2	1	3	1	3	2	0	0	Day 1, 13:00
3	2	2	3	4	1	0	0	Day 1, 12:00
1	2	2	2	5	1	0	0	Day 1, 12:00
5	1	2	2	1	2	1	0	Day 1, 13:00
2	1	3	1	3	1	0	0	Day 1, 10:00
2	1	2	2	1	3	0	0	Day 1, 13:00
2	2	2	2	5	3	0	0	Day 1, 13:00
2	1	4	1	1	1	0	0	Day 1, 13:00
2	1	3	1	3	1	0	0	Day 1, 13:00
1	1	1	4	3	3	1	0	Day 1, 13:00
2	1	4	1	2	2	0	0	Day 1, 10:00
2	1	2	2	3	2	0	0	Day 1, 10:00
3	2	2	2	1	2	0	0	Day 1, 12:00
1	1	3	1	5	2	1	0	Day 1, 13:00
2	2	1	1	3	2	0	0	Day 1, 13:00
2	1	3	1	1	1	0	0	Day 1, 10:00
2	1	4	1	1	2	0	0	Day 1, 13:00
1	1	1	1	2	2	0	1	Day 1, 11:00
2	1	3	1	5	2	1	0	Day 1, 12:00
2	2	2	2	2	2	0	0	Day 1, 13:00
2	1	2	2	1	3	1	0	Day 1, 13:00
2	1	2	2	2	1	0	0	Day 1, 13:00
3	1	2	2	5	2	1	0	Day 1, 12:00
1	1	3	1	5	1	0	0	Day 1, 12:00
2	1	2	1	2	3	0	0	Day 1, 13:00
2	1	3	1	3	2	1	0	Day 1, 12:00
1	1	2	1	4	1	0	0	Day 1, 12:00
2	1	3	1	5	1	0	0	Day 1, 13:00
1	1	2	2	1	1	0	0	Day 1, 13:00
3	1	3	1	3	1	0	0	Day 1, 10:00
1	1	2	2	4	1	0	0	Day 1, 12:00
2	1	3	1	2	2	0	0	Day 1, 18:00
1	1	2	2	5	2	0	0	Day 1, 13:00
2	2	4	2	4	3	0	1	Day 1, 13:00
2	1	3	1	2	2	1	0	Day 1, 13:00
1	1	2	2	4	1	0	0	Day 1, 10:00
2	2	1	1	4	3	0	0	Day 1, 13:00
3	1	2	2	1	1	0	0	Day 1, 10:00
2	1	3	1	4	2	0	0	Day 1, 12:00
2	1	2	2	5	1	0	0	Day 1, 13:00
3	1	2	2	1	2	1	0	Day 1, 10:00
2	2	3	1	3	2	0	0	Day 1, 13:00
1	2	2	1	4	1	0	0	Day 1, 13:00
1	1	4	1	5	2	0	1	Day 1, 13:00
1	1	4	1	3	1	0	0	Day 1, 13:00
3	1	2	2	1	1	1	0	Day 1, 12:00
3	1	3	1	1	1	0	0	Day 1, 13:00
2	1	4	5	5	3	0	0	Day 1, 13:00
2	1	2	2	3	3	0	0	Day 1, 13:00
2	1	3	1	3	1	0	0	Day 1, 11:00
4	1	3	1	5	1	0	0	Day 1, 13:00
3	1	4	1	5	1	0	0	Day 1, 14:00
1	1	1	1	1	1	1	0	Day 1, 14:00
3	1	2	2	2	3	0	0	Day 1, 11:00
1	1	2	2	1	3	0	0	Day 1, 14:00
2	2	3	1	4	2	0	0	Day 1, 13:00
2	1	3	1	2	1	0	0	Day 1, 13:00
5	1	3	1	3	2	0	0	Day 1, 13:00
5	2	1	1	5	1	1	0	Day 1, 13:00
3	1	4	1	2	1	1	0	Day 1, 13:00
2	1	2	2	4	2	0	0	Day 1, 13:00
1	1	4	1	3	2	0	0	Day 1, 14:00
3	1	1	4	3	3	0	0	Day 1, 14:00
4	1	2	2	2	3	0	0	Day 1, 14:00
3	2	2	2	3	1	0	0	Day 1, 14:00
2	2	1	4	5	3	0	0	Day 1, 14:00
1	1	1	3	5	1	0	1	Day 1, 11:00
1	1	4	1	1	2	0	0	Day 1, 11:00
1	1	4	4	3	2	0	0	Day 1, 14:00
2	1	3	1	5	1	0	0	Day 1, 14:00
1	1	2	2	5	3	0	0	Day 1, 11:00
3	1	3	1	1	1	1	0	Day 1, 14:00
3	1	2	2	4	3	0	0	Day 1, 11:00
2	1	2	2	4	2	0	0	Day 1, 14:00
2	1	3	1	2	3	1	0	Day 1, 14:00
2	1	1	1	5	1	0	0	Day 1, 11:00
3	1	2	2	2	2	0	0	Day 1, 19:00
2	2	2	2	5	1	1	0	Day 1, 14:00
2	1	3	1	3	2	1	0	Day 1, 15:00
1	1	3	1	5	2	0	0	Day 1, 14:00
2	1	3	1	1	2	1	0	Day 1, 14:00
2	1	4	4	2	1	0	0	Day 1, 15:00
3	1	4	1	2	1	0	0	Day 1, 15:00
3	1	3	1	3	1	0	0	Day 1, 12:00
3	1	3	3	5	1	1	1	Day 1, 12:00
2	1	2	2	5	1	1	0	Day 1, 15:00
1	2	2	2	2	3	0	0	Day 1, 15:00
2	1	2	2	1	2	1	0	Day 1, 15:00
2	2	3	2	4	1	0	0	Day 1, 12:00
1	1	3	1	1	2	0	0	Day 1, 15:00
1	1	3	1	3	1	0	0	Day 1, 13:00
3	1	1	2	3	3	0	0	Day 1, 15:00
2	1	3	1	5	2	1	0	Day 1, 14:00
5	2	3	1	4	1	1	0	Day 1, 15:00
3	1	3	1	4	2	0	0	Day 1, 12:00
3	1	3	1	3	1	0	0	Day 1, 15:00
2	1	3	1	2	1	1	0	Day 1, 21:00
2	2	1	1	4	2	0	1	Day 1, 14:00
1	1	2	2	4	2	0	0	Day 1, 22:00
3	1	2	2	4	2	0	0	Day 1, 14:00
2	1	2	2	5	1	0	0	Day 1, 13:00
3	1	2	1	2	2	1	0	Day 1, 15:00
1	1	2	2	4	1	0	0	Day 1, 14:00
3	1	3	1	3	1	1	0	Day 1, 15:00
2	2	3	1	5	1	0	0	Day 1, 12:00
3	2	2	2	4	3	0	0	Day 1, 12:00
3	1	3	1	1	2	0	0	Day 1, 15:00
1	2	2	2	3	1	0	1	Day 1, 14:00
2	1	2	2	4	3	0	0	Day 1, 15:00
1	2	4	1	3	1	0	0	Day 1, 12:00
1	1	2	2	4	3	0	0	Day 1, 14:00
1	1	1	1	1	1	1	0	Day 1, 12:00
2	1	1	1	2	1	0	0	Day 1, 15:00
2	1	2	2	4	1	0	0	Day 1, 20:00
2	2	3	1	1	1	0	0	Day 1, 15:00
1	2	4	1	4	1	0	0	Day 1, 15:00
1	1	2	2	4	2	0	0	Day 1, 21:00
2	2	3	1	3	1	0	0	Day 1, 12:00
1	1	2	2	2	2	1	0	Day 1, 15:00
2	1	2	1	3	1	0	1	Day 1, 13:00
1	1	2	1	4	2	0	0	Day 1, 16:00
1	1	3	1	2	1	1	0	Day 1, 13:00
2	1	3	1	4	2	0	0	Day 1, 15:00
3	1	3	1	1	1	0	0	Day 1, 16:00
2	1	2	2	2	2	1	0	Day 1, 16:00
3	1	2	1	1	1	0	0	Day 1, 13:00
2	1	2	2	5	1	0	0	Day 1, 16:00
2	1	3	1	5	2	0	0	Day 1, 16:00
2	1	4	1	5	1	0	0	Day 1, 16:00
2	1	2	2	3	1	0	0	Day 1, 16:00
3	1	2	2	2	1	0	0	Day 1, 16:00
2	2	2	2	5	2	1	0	Day 1, 16:00
2	1	3	1	4	1	0	0	Day 1, 13:00
3	2	2	2	4	3	1	0	Day 1, 13:00
3	1	2	2	5	2	0	0	Day 1, 16:00
3	1	4	1	1	1	0	0	Day 1, 13:00
3	2	3	2	1	1	0	1	Day 1, 15:00
2	1	3	1	4	2	0	0	Day 1, 16:00
1	1	3	1	5	1	0	0	Day 1, 16:00
1	1	3	1	3	1	0	0	Day 1, 15:00
2	1	3	1	3	2	0	0	Day 1, 15:00
2	1	2	1	4	2	0	1	Day 1, 13:00
1	1	3	1	4	2	1	0	Day 2, 4:00
4	1	4	1	1	1	0	0	Day 1, 16:00
2	1	2	2	3	2	0	0	Day 1, 16:00
2	1	2	2	5	2	1	0	Day 1, 15:00
3	2	3	1	2	2	0	0	Day 1, 16:00
4	1	2	1	2	2	0	0	Day 1, 16:00
1	1	1	2	2	3	0	0	Day 1, 16:00
3	1	2	2	1	1	1	0	Day 1, 15:00
2	1	3	1	3	2	0	0	Day 1, 13:00
2	1	2	2	5	3	0	0	Day 1, 13:00
2	2	1	1	3	1	1	0	Day 1, 16:00
3	1	3	1	3	2	0	0	Day 1, 15:00
1	1	3	1	1	2	0	0	Day 1, 16:00
1	2	2	2	2	1	0	0	Day 1, 16:00
3	1	3	1	3	1	0	0	Day 1, 16:00
2	3	3	1	1	3	1	0	Day 1, 15:00
2	1	4	1	1	1	0	0	Day 1, 16:00
3	1	4	1	2	3	0	0	Day 1, 15:00
2	1	1	2	5	1	0	1	Day 1, 16:00
2	2	2	2	2	1	0	0	Day 1, 16:00
2	2	1	1	1	1	1	0	Day 1, 13:00
2	1	4	1	2	1	0	0	Day 1, 16:00
2	2	3	1	4	1	0	0	Day 1, 17:00
2	1	2	2	3	1	0	0	Day 1, 22:00
2	1	3	1	2	2	0	0	Day 1, 17:00
2	2	4	1	5	1	0	0	Day 1, 17:00
3	1	3	1	2	2	1	0	Day 1, 17:00
2	1	4	1	5	1	1	0	Day 1, 14:00
3	1	4	1	2	3	0	0	Day 1, 16:00
2	1	4	1	3	2	0	0	Day 1, 17:00
3	2	1	3	1	3	0	1	Day 1, 16:00
2	2	3	1	3	1	0	0	Day 1, 17:00
2	1	4	4	2	3	0	0	Day 1, 17:00
4	1	2	2	2	2	0	0	Day 1, 17:00
2	1	2	2	2	1	0	0	Day 1, 16:00
2	2	3	1	2	2	0	0	Day 1, 16:00
5	1	3	1	2	2	0	0	Day 1, 16:00
1	2	2	2	4	3	0	0	Day 1, 14:00
2	1	3	1	4	1	0	0	Day 1, 17:00
3	1	2	2	1	3	1	0	Day 1, 17:00
2	1	3	1	5	1	0	0	Day 1, 16:00
2	1	3	1	1	2	0	0	Day 1, 17:00
2	1	3	1	5	3	1	0	Day 1, 16:00
1	2	2	2	3	1	0	0	Day 1, 16:00
2	2	3	1	1	2	0	0	Day 1, 17:00
2	2	3	1	5	1	1	0	Day 1, 14:00
2	1	2	2	4	2	0	0	Day 1, 14:00
2	1	2	1	2	1	0	0	Day 1, 17:00
2	1	3	1	5	1	0	0	Day 1, 17:00
3	2	2	2	2	1	0	0	Day 1, 17:00
1	1	4	1	3	1	0	0	Day 1, 18:00
2	2	3	1	5	1	0	0	Day 1, 17:00
2	2	3	1	2	1	0	0	Day 1, 15:00
3	1	3	1	4	1	0	0	Day 1, 18:00
2	1	2	2	3	2	0	0	Day 1, 15:00
3	1	4	1	2	1	0	0	Day 1, 15:00
4	2	3	1	2	1	0	0	Day 2, 8:00
2	1	4	1	3	1	1	0	Day 1, 17:00
2	2	3	1	3	1	0	0	Day 1, 17:00
1	1	3	1	4	2	0	0	Day 1, 18:00
5	1	4	1	4	2	0	0	Day 1, 15:00
2	1	3	1	4	2	0	0	Day 1, 18:00
2	1	2	1	3	1	1	0	Day 1, 18:00
2	1	2	2	2	1	1	0	Day 1, 17:00
5	1	4	1	1	1	1	0	Day 1, 17:00
1	1	4	2	2	1	0	0	Day 1, 18:00
1	1	3	1	4	2	0	0	Day 1, 15:00
3	1	3	1	4	2	0	0	Day 1, 15:00
2	1	2	2	4	2	1	0	Day 1, 18:00
2	2	2	2	1	2	0	0	Day 1, 18:00
3	2	4	1	1	1	0	1	Day 1, 18:00
3	1	3	1	4	1	0	0	Day 1, 15:00
2	1	4	1	1	1	0	0	Day 1, 15:00
3	1	4	1	1	2	1	0	Day 1, 18:00
2	1	3	1	2	2	1	0	Day 1, 15:00
4	2	3	2	2	1	0	0	Day 1, 18:00
1	1	2	1	5	2	1	0	Day 1, 18:00
2	2	2	2	1	3	0	0	Day 1, 18:00
2	1	2	2	1	2	1	0	Day 1, 17:00
5	1	3	1	4	2	0	0	Day 1, 18:00
2	1	2	2	1	3	0	0	Day 1, 15:00
2	1	2	2	1	1	0	0	Day 1, 17:00
2	1	3	1	3	1	0	0	Day 1, 16:00
2	2	2	2	1	2	0	0	Day 1, 18:00
2	1	3	1	5	2	0	0	Day 1, 17:00
2	1	3	1	2	2	0	0	Day 1, 18:00
1	1	1	1	2	2	1	0	Day 1, 18:00
2	2	3	1	5	1	1	0	Day 1, 18:00
3	1	3	1	1	1	1	0	Day 1, 18:00
1	1	4	4	3	3	0	0	Day 1, 19:00
3	1	4	1	1	3	0	0	Day 1, 19:00
3	1	2	2	1	2	0	0	Day 1, 19:00
2	1	3	1	5	1	0	0	Day 1, 18:00
2	1	2	1	2	1	0	0	Day 1, 16:00
1	2	2	2	5	3	1	0	Day 1, 19:00
2	1	3	1	5	1	0	0	Day 1, 19:00
2	1	2	2	5	3	0	0	Day 1, 19:00
2	2	2	2	3	3	0	0	Day 1, 19:00
2	1	2	2	5	2	1	0	Day 1, 19:00
1	1	3	1	2	2	0	0	Day 1, 19:00
3	1	2	2	4	2	0	0	Day 1, 19:00
2	1	3	3	1	1	0	0	Day 1, 18:00
3	1	2	2	4	2	0	0	Day 1, 19:00
1	2	2	2	1	1	0	0	Day 1, 18:00
3	2	4	1	1	1	0	0	Day 1, 18:00
3	1	4	1	2	1	1	0	Day 1, 19:00
